Subfolder,SSIM Score
20_20_0.2,0.962838820802809
20_20_0.25,0.9449776428645682
20_20_0.3,0.924101729036226
20_20_0.33,0.9072739752423242
20_20_0.4,0.8630407190794439
20_30_0.2,0.9633272279009742
20_30_0.25,0.9454945190179628
20_30_0.3,0.9240243036618272
20_30_0.33,0.9071442063360572
20_30_0.4,0.8621264920649343
20_60_0.2,0.9638589852216723
20_60_0.25,0.9457095221796804
20_60_0.3,0.9244537971372581
20_60_0.33,0.9067213597207937
20_60_0.4,0.8624727272099415
20_90_0.2,0.9631711571867836
20_90_0.25,0.946310288532013
20_90_0.3,0.923712035333364
20_90_0.33,0.9057556584639842
20_90_0.4,0.8703518705647676
30_20_0.2,0.963244789133639
30_20_0.25,0.9444947428495925
30_20_0.3,0.9232977919206504
30_20_0.33,0.9078126070020501
30_20_0.4,0.8632240625600965
30_30_0.2,0.9635708224995995
30_30_0.25,0.945152979579744
30_30_0.3,0.9233900776743325
30_30_0.33,0.907598033262402
30_30_0.4,0.8622857644771909
30_60_0.2,0.9637766588920886
30_60_0.25,0.9450831170671729
30_60_0.3,0.9238877207736101
30_60_0.33,0.9071450708649703
30_60_0.4,0.8624792628609204
30_90_0.2,0.9630892739912956
30_90_0.25,0.9457700962257712
30_90_0.3,0.9234996045019307
30_90_0.33,0.9058326567031132
30_90_0.4,0.8700782050044167
60_20_0.2,0.96168450679432
60_20_0.25,0.9451035507524693
60_20_0.3,0.9236925764671868
60_20_0.33,0.9073077160392408
60_20_0.4,0.8623506005531516
60_30_0.2,0.9624139283417475
60_30_0.25,0.9460076058395547
60_30_0.3,0.9236530077650645
60_30_0.33,0.9072977399662641
60_30_0.4,0.8619373821100357
60_60_0.2,0.9631387201862353
60_60_0.25,0.9454850997988758
60_60_0.3,0.9247542129192089
60_60_0.33,0.9071762057564886
60_60_0.4,0.8625740355239888
60_90_0.2,0.9634949067107591
60_90_0.25,0.9459626192533902
60_90_0.3,0.9239571234483897
60_90_0.33,0.9064930933649641
60_90_0.4,0.8698831935119793
90_20_0.2,0.9629383243635018
90_20_0.25,0.9462089737480905
90_20_0.3,0.9245419393864865
90_20_0.33,0.9083126766764676
90_20_0.4,0.867046510203115
90_30_0.2,0.9637858187694258
90_30_0.25,0.9465181631106655
90_30_0.3,0.9244924449880539
90_30_0.33,0.9079805467826597
90_30_0.4,0.8669824582734895
90_60_0.2,0.9631103452730273
90_60_0.25,0.9449991818554756
90_60_0.3,0.9252183363170718
90_60_0.33,0.9077504777199696
90_60_0.4,0.8681361612360848
90_90_0.2,0.9637763284970039
90_90_0.25,0.9449639207466779
90_90_0.3,0.9241239636338879
90_90_0.33,0.9070812564612003
90_90_0.4,0.8757364708755139
